timestamp,trial_number,val_loss,model.type,model.latent_dim,model.base_filters,hyperparameters.learning_rate,hyperparameters.batch_size,hyperparameters.weight_decay,training.optimizer,training.scheduler,preprocessing.normalize,preprocessing.use_tanh_output,hyperparameters.beta,model.in_channels
20250427_005646,16,inf,resnet_ae,316,24,1.219583825009273e-05,16,8.984718381649786e-06,sgd,reduce_on_plateau,True,False,,1.0
20250427_005646,17,0.1897871792316436,mlp_autoencoder,184,63,0.0001215008399352,8,1.5013977147504605e-06,sgd,reduce_on_plateau,True,False,,1.0
20250427_005646,18,0.2556977570056915,unet_ae,329,40,0.0004011689051692,64,5.941614349437619e-06,rmsprop,cosine_annealing,False,False,,1.0
20250427_005646,19,0.2459863722324371,unet_ae,229,16,0.000123150002399,32,2.8346369689184368e-06,sgd,none,True,False,,1.0
20250427_024643,0,0.3954351842403412,vae,49,17,0.0039676050770529,64,0.000314288089084,adam,cosine_annealing,False,False,0.5404103854647329,1.0
20250427_024643,1,1.7548925876617432,vae,134,34,3.585612610345396e-05,8,6.218704727769077e-05,adam,none,False,True,1.217284708112243,1.0
20250427_024643,2,inf,conv_autoencoder,118,18,0.0013795402040204,32,3.69997243146381e-05,adam,cosine_annealing,False,False,,1.0
20250427_024643,3,inf,resnet_ae,101,21,2.288738114460096e-05,16,0.0001285454996487,sgd,cosine_annealing,True,True,,1.0
20250427_024643,4,inf,conv_autoencoder,33,32,4.780654141328922e-05,32,0.0006459367085984,sgd,reduce_on_plateau,False,True,,1.0
20250427_024643,5,inf,conv_autoencoder,194,21,0.0013694231460024,32,0.0003529150925129,adam,reduce_on_plateau,True,True,,1.0
20250427_024643,6,0.225603312253952,unet_ae,76,20,0.0004681702225035,8,6.998769331752381e-05,adam,reduce_on_plateau,True,False,,1.0
20250427_030140,0,0.3581887483596802,vae,49,17,0.0039676050770529,64,0.000314288089084,adam,cosine_annealing,False,False,0.5404103854647329,1.0
20250427_030140,1,1.5774214267730713,vae,134,34,3.585612610345396e-05,8,6.218704727769077e-05,adam,none,False,True,1.217284708112243,1.0
20250427_030140,2,inf,conv_autoencoder,118,18,0.0013795402040204,32,3.69997243146381e-05,adam,cosine_annealing,False,False,,1.0
20250427_030140,3,inf,resnet_ae,101,21,2.288738114460096e-05,16,0.0001285454996487,sgd,cosine_annealing,True,True,,1.0
20250427_030140,4,inf,conv_autoencoder,33,32,4.780654141328922e-05,32,0.0006459367085984,sgd,reduce_on_plateau,False,True,,1.0
20250427_030140,5,inf,conv_autoencoder,194,21,0.0013694231460024,32,0.0003529150925129,adam,reduce_on_plateau,True,True,,1.0
20250427_030140,6,0.220890536904335,unet_ae,76,20,0.0004681702225035,8,6.998769331752381e-05,adam,reduce_on_plateau,True,False,,1.0
20250427_030140,7,0.0085373539477586,mlp_autoencoder,45,33,0.0020416470207182,16,3.927027067477075e-05,rmsprop,reduce_on_plateau,True,True,,1.0
20250427_030140,8,0.2564093172550201,vae,35,52,0.0012911407200549,32,3.308305521268992e-06,rmsprop,reduce_on_plateau,True,True,0.2117721540886052,1.0
20250427_030140,9,inf,conv_autoencoder,34,50,7.007519651093011e-05,64,0.0001604032381607,adam,none,True,True,,1.0
20250427_030140,10,0.0085204727947711,mlp_autoencoder,265,42,0.0067774328918862,16,7.97433486827397e-06,rmsprop,reduce_on_plateau,True,False,,1.0
20250427_030140,11,0.0085254730656743,mlp_autoencoder,401,40,0.009772014044657,16,1.1038251665362906e-05,rmsprop,reduce_on_plateau,True,False,,1.0
20250427_030140,12,0.0085217542946338,mlp_autoencoder,507,42,0.0083627941859877,16,5.289864562092444e-06,rmsprop,reduce_on_plateau,True,False,,1.0
20250427_030140,13,0.008524783886969,mlp_autoencoder,440,60,0.0096500048490745,16,1.0953114890618474e-06,rmsprop,reduce_on_plateau,True,False,,1.0
20250427_030140,14,0.0085219256579875,mlp_autoencoder,274,42,0.0002094389144381,16,1.2163254850618971e-05,rmsprop,none,True,False,,1.0
20250427_030140,15,0.0085267797112464,mlp_autoencoder,286,26,0.0044365806299714,16,8.927296854386395e-06,rmsprop,reduce_on_plateau,True,False,,1.0
20250427_030518,0,0.3609510362148285,vae,49,17,0.0039676050770529,64,0.000314288089084,adam,cosine_annealing,False,False,0.5404103854647329,1.0
20250427_030518,1,1.238903522491455,vae,134,34,3.585612610345396e-05,8,6.218704727769077e-05,adam,none,False,True,1.217284708112243,1.0
20250427_030518,2,0.2439828813076019,conv_autoencoder,118,18,0.0013795402040204,32,3.69997243146381e-05,adam,cosine_annealing,False,False,,1.0
20250427_030518,3,inf,resnet_ae,101,21,2.288738114460096e-05,16,0.0001285454996487,sgd,cosine_annealing,True,True,,1.0
20250427_030518,4,0.0083979172632098,conv_autoencoder,33,32,4.780654141328922e-05,32,0.0006459367085984,sgd,reduce_on_plateau,False,True,,1.0
20250427_030518,5,0.0086948629468679,conv_autoencoder,194,21,0.0013694231460024,32,0.0003529150925129,adam,reduce_on_plateau,True,True,,1.0
20250427_030518,6,0.2323851138353347,unet_ae,76,20,0.0004681702225035,8,6.998769331752381e-05,adam,reduce_on_plateau,True,False,,1.0
20250427_030518,7,0.0085320472717285,mlp_autoencoder,45,33,0.0020416470207182,16,3.927027067477075e-05,rmsprop,reduce_on_plateau,True,True,,1.0
20250427_030518,8,0.2606805264949798,vae,35,52,0.0012911407200549,32,3.308305521268992e-06,rmsprop,reduce_on_plateau,True,True,0.2117721540886052,1.0
20250427_030518,9,0.1670745909214019,conv_autoencoder,34,50,7.007519651093011e-05,64,0.0001604032381607,adam,none,True,True,,1.0
20250427_030518,10,0.0442078560590744,unet_ae,265,27,0.000146384950296,32,7.009302939309281e-06,sgd,reduce_on_plateau,False,False,,1.0
20250427_030518,11,0.0085302218794822,mlp_autoencoder,57,36,0.0095407294440071,16,0.0008855046038452,rmsprop,reduce_on_plateau,False,True,,1.0
20250427_030518,12,inf,mlp_autoencoder,507,40,1.2844377595711352e-05,16,0.0009629704205087,rmsprop,reduce_on_plateau,False,True,,1.0
20250427_030518,13,inf,mlp_autoencoder,64,26,0.009393948817548,16,0.0005391198077373,sgd,reduce_on_plateau,False,True,,1.0
20250427_030518,14,inf,resnet_ae,59,42,0.0003214252040807,32,0.0009781003531118,rmsprop,none,False,True,,1.0
20250427_030518,15,0.0100764790549874,conv_autoencoder,33,63,0.0001099186944407,16,1.1839521790889643e-05,sgd,reduce_on_plateau,False,True,,1.0
20250427_030518,16,0.0085215512663126,mlp_autoencoder,49,28,0.0005404734934449,8,1.336540224743394e-06,rmsprop,reduce_on_plateau,False,True,,1.0
20250427_030518,17,inf,mlp_autoencoder,81,25,0.0006458526650228,8,1.7096715842365055e-06,sgd,reduce_on_plateau,False,True,,1.0
